791.60,763.30,783.90,779.17
795.30,776.30,790.90,793.54
823.73,805.65,820.90,808.19
806.35,810.34,812.75,811.01
801.78,813.11,819.37,799.75
832.17,822.27,835.21,822.92
829.41,825.46,832.50,819.97
813.54,831.31,826.20,822.50
816.20,822.28,823.22,818.88
830.49,813.13,823.21,811.21
798.64,816.44,810.79,792.90
807.16,802.48,806.42,806.96
805.76,818.20,816.25,811.46
812.59,799.65,813.02,802.18
799.21,817.98,810.66,799.08
801.19,791.33,798.17,793.85
795.15,807.30,803.55,796.12
797.58,801.50,808.97,788.37
807.53,819.16,815.42,811.33
807.66,812.15,811.07,802.56
840.77,812.40,837.11,818.77
832.43,823.98,830.74,823.43
841.57,824.48,837.56,830.41
831.99,827.29,834.93,822.16
843.29,836.48,839.88,828.98
805.64,839.17,833.00,805.72
821.07,829.80,825.85,815.62
823.02,830.33,825.56,812.99
831.81,836.57,845.95,831.37
822.36,830.04,825.44,820.72
843.26,832.31,844.52,830.22
851.09,846.78,851.15,843.16
860.01,853.35,858.42,850.62
865.90,865.62,868.27,857.98
853.95,865.57,874.27,849.36
825.39,836.86,836.86,821.91
820.39,830.39,830.29,820.84
794.04,802.06,794.23,791.38
814.78,814.00,820.09,805.73
815.18,827.63,827.06,818.20
824.64,811.92,822.95,814.09
824.58,824.70,835.11,823.17
826.40,829.53,829.78,818.79
825.11,836.23,832.91,825.35
831.37,831.95,832.68,824.19
827.01,837.65,847.74,827.63
828.08,839.72,848.00,827.21
816.12,816.87,812.00,815.35
844.04,846.63,844.26,844.56
848.04,839.10,843.20,834.72
844.62,847.19,855.39,846.43
853.45,848.01,855.38,846.87
848.00,853.43,851.85,836.60
844.62,844.22,844.10,843.42
851.80,845.62,855.70,843.70
846.34,849.97,853.10,849.95
860.55,851.47,854.24,849.66
853.65,856.40,852.73,849.36
847.20,847.85,850.72,843.79
846.91,849.94,847.77,836.96
855.03,847.66,857.72,849.87
846.74,858.05,855.42,850.95
850.94,858.62,859.20,852.37
856.75,861.90,867.42,857.49
866.67,860.84,868.72,860.98
869.79,864.15,871.97,864.48
872.59,868.51,873.66,862.71
871.61,873.12,875.54,873.75
876.22,873.23,874.91,866.70
871.76,869.03,870.83,863.00
832.37,870.64,876.60,830.71
849.46,828.90,837.23,846.31
829.50,833.30,828.03,819.00
830.63,842.61,846.31,825.20
834.00,828.70,843.69,820.40
842.75,851.29,849.42,840.23
851.99,854.35,855.61,849.35
839.33,843.89,838.34,832.77
852.90,862.20,855.54,858.82
865.70,850.67,868.44,849.82
848.39,847.25,847.00,847.48
845.25,861.42,868.18,847.53
841.28,844.29,846.59,840.48
851.05,846.92,855.32,839.59
838.51,838.11,842.48,841.25
835.42,837.50,840.55,830.89
839.64,838.62,841.61,831.40
835.72,836.84,839.65,834.15
870.08,841.72,867.55,844.21
852.31,847.39,854.95,849.72
859.88,843.48,857.58,848.73
862.20,871.34,867.95,865.47
858.56,869.85,862.86,863.12
878.53,864.98,880.82,869.60
897.79,884.18,901.69,881.57
889.44,900.52,893.73,891.02
891.74,899.13,894.12,893.05
920.34,928.25,929.90,923.20
929.16,930.86,943.41,920.81
933.43,939.98,950.58,931.01
