112.08,109.55,112.02,109.88
111.09,109.62,111.17,109.36
113.19,110.79,114.05,111.66
113.71,112.10,114.15,112.31
116.03,113.34,116.25,114.69
114.25,115.86,116.37,115.18
116.45,115.72,117.26,115.48
115.40,115.88,115.59,114.57
117.20,115.57,117.74,116.37
117.36,115.55,116.65,116.50
117.62,116.57,117.76,117.40
118.12,117.80,118.78,117.35
117.57,115.88,117.35,116.31
117.57,117.46,117.92,117.42
116.19,116.93,117.11,115.13
118.56,117.90,119.38,118.11
116.90,116.41,118.03,115.40
116.26,115.86,116.23,114.86
116.25,115.09,116.52,115.70
117.28,115.25,117.74,115.92
119.00,118.38,119.40,117.91
118.86,118.00,119.61,118.93
120.19,119.94,120.65,119.77
120.08,117.89,119.06,117.93
118.60,119.88,119.60,118.39
115.95,120.32,119.39,116.59
119.23,117.89,119.35,117.08
116.90,121.21,120.27,117.49
120.09,120.34,120.21,120.30
119.97,119.38,119.54,119.93
119.29,120.83,120.75,119.17
119.18,120.38,120.04,118.90
122.51,120.76,122.63,120.53
122.09,122.76,122.21,122.01
121.92,121.07,121.44,121.80
121.42,120.33,121.22,120.32
121.14,121.37,121.71,121.22
130.05,127.89,131.79,127.67
128.32,127.38,128.98,127.44
128.87,127.71,128.78,127.82
129.64,130.11,130.80,129.08
132.17,130.51,132.64,130.75
131.91,131.40,132.40,132.21
132.97,131.99,132.25,131.50
131.84,132.68,132.70,132.01
133.29,134.28,134.10,133.98
135.98,132.70,135.71,132.66
135.51,136.72,136.55,135.85
136.01,135.00,136.78,134.94
137.63,135.97,137.83,135.88
136.67,135.16,135.84,136.18
136.89,137.38,136.02,136.88
137.20,136.71,138.36,136.41
137.04,136.21,136.88,135.18
137.15,138.19,137.80,136.64
137.32,136.23,136.56,136.03
140.77,139.02,141.07,138.47
139.70,140.93,141.56,139.66
140.37,138.85,140.18,138.65
139.67,138.51,138.90,137.93
139.90,139.36,140.20,138.69
139.22,140.00,140.16,139.18
139.50,137.52,138.34,136.88
139.96,138.03,138.91,138.47
139.32,139.67,139.38,139.18
139.37,139.60,139.88,138.74
140.52,139.01,140.82,139.21
140.68,142.38,141.28,141.75
139.77,141.94,139.90,140.66
141.24,141.34,140.40,141.00
139.14,142.39,142.78,139.36
143.33,140.72,143.60,140.54
140.91,142.92,141.84,142.10
140.36,141.74,141.90,140.09
140.96,138.94,141.58,138.66
143.52,141.15,144.20,140.36
144.18,143.62,144.49,143.61
144.25,146.96,144.95,146.07
143.72,143.66,144.27,143.43
143.38,143.50,143.11,141.28
147.69,144.77,147.71,145.17
143.70,144.01,144.45,142.04
143.70,144.28,144.37,143.49
142.98,143.80,143.24,142.91
143.54,143.03,143.81,143.16
142.04,143.14,143.72,140.19
144.72,143.12,144.97,143.01
140.30,142.88,142.95,141.69
142.24,141.68,142.25,141.00
140.57,141.34,142.20,141.35
139.93,142.19,142.23,140.49
145.36,142.74,145.74,143.16
141.52,143.41,143.25,142.49
144.05,143.70,144.32,143.31
144.01,144.38,144.86,143.21
143.05,144.40,144.76,143.62
146.71,145.44,146.98,145.31
143.76,143.54,143.86,143.20
149.51,146.11,150.10,146.65
146.88,147.47,148.25,147.08
