64.37,68.27,67.95,64.23
68.76,69.49,70.02,69.79
68.49,68.80,68.60,67.23
68.68,69.44,69.48,69.34
69.55,69.79,71.08,69.91
68.43,68.99,70.78,67.92
68.90,68.45,70.36,67.88
67.33,68.84,70.08,66.87
63.05,67.71,67.04,63.92
67.28,67.11,67.62,67.28
67.32,66.90,67.27,66.78
66.92,67.47,67.67,66.42
66.96,66.14,66.13,66.58
66.30,68.69,68.00,67.15
65.70,66.41,66.82,65.82
66.60,63.80,65.02,65.76
65.45,65.94,66.14,65.09
65.92,68.29,66.75,66.34
64.63,66.42,66.22,64.88
65.75,64.93,65.77,64.61
66.09,63.78,64.81,65.20
65.86,66.60,67.11,66.91
67.31,62.18,64.56,65.74
67.78,61.98,64.52,65.59
62.15,66.27,65.79,62.33
67.00,66.30,67.47,66.79
64.00,67.21,67.10,63.39
66.49,64.24,66.86,63.68
63.60,65.72,65.67,63.98
62.41,65.64,65.29,62.32
55.09,59.74,59.51,55.19
54.79,55.20,55.51,54.91
55.33,56.49,56.70,54.49
54.15,54.60,54.68,53.56
52.74,54.16,54.25,52.64
53.59,54.55,54.29,53.36
53.03,54.18,54.04,52.47
53.04,54.23,53.95,52.99
52.68,52.55,53.17,52.00
53.50,55.38,53.83,54.49
53.40,55.74,54.02,54.56
53.59,53.22,53.40,53.14
51.33,53.61,53.73,50.98
54.78,53.99,54.31,53.56
54.89,53.80,55.14,53.38
55.87,52.54,54.25,54.92
55.87,55.68,56.16,55.36
56.47,55.79,56.39,55.30
56.86,56.74,56.79,56.26
57.22,57.75,57.84,57.16
57.22,56.63,57.14,56.43
54.41,57.24,56.99,53.47
56.72,57.28,57.34,56.38
57.98,57.92,58.13,57.61
56.92,55.86,56.25,56.81
56.47,56.01,56.23,55.93
58.91,58.01,58.29,57.07
57.49,57.14,58.34,56.41
56.83,56.77,57.21,56.54
56.17,56.30,56.74,56.10
58.63,57.68,58.03,56.99
59.67,58.00,59.29,57.60
58.91,55.61,57.22,58.06
59.19,59.21,59.18,58.86
59.13,59.74,59.73,59.10
58.04,59.05,58.62,57.62
58.82,58.47,59.12,58.64
58.90,59.15,59.12,58.72
57.38,58.45,58.59,57.49
58.11,57.84,58.45,58.05
56.56,57.27,57.44,56.26
57.71,57.44,57.81,57.00
57.05,55.96,56.30,55.95
56.12,57.74,57.35,55.99
56.78,53.07,54.04,57.41
57.12,55.92,57.08,56.51
57.34,57.51,57.13,57.05
56.57,57.10,57.29,56.74
57.46,53.81,54.79,57.90
56.48,57.68,57.10,56.23
56.86,55.34,56.48,56.46
56.26,57.30,58.15,56.59
56.71,55.48,56.30,56.35
56.11,56.72,56.47,56.25
56.72,56.28,57.02,56.35
54.18,56.21,55.91,53.17
51.43,52.96,52.94,51.52
51.62,53.02,53.22,51.23
52.99,52.85,52.59,52.72
52.45,52.21,52.83,52.03
50.65,51.32,51.39,50.70
52.86,53.07,53.61,51.48
52.28,52.38,52.65,51.85
52.99,52.05,52.82,52.96
52.79,53.67,54.11,53.13
52.83,53.70,53.92,53.08
53.27,52.88,52.54,52.63
53.80,51.44,53.15,50.77
53.46,55.50,53.45,55.14
52.98,53.65,53.75,52.70
